Date,Open,High,Low,Close,Volume,Market Cap
Nov-15-2022,0.37593791523096237,0.3956384387124939,0.3674334503837522,0.3883560714494031,4778958622.222222,17607866696.079422
Nov-14-2022,0.34002490103958183,0.3773557914132619,0.32326980828060825,0.37466503444079696,5529577708.444445,15977474276.924486
Nov-13-2022,0.363498834427419,0.36865564033396725,0.33459434468357957,0.340152765182005,2004856320.8888888,16289150083.23159
Nov-12-2022,0.38424837033435527,0.38424837033435527,0.3607873200663463,0.36314155843531526,2714720436.4444447,17020492970.252262
Nov-11-2022,0.3946026790491045,0.3983621662900709,0.368004253775454,0.3848554789322818,33644333176.88889,17674553704.821712
Nov-10-2022,0.3314165872270146,0.40187297965742436,0.3314165872270146,0.39546496553198646,61674053744,17132241130.673174
Nov-09-2022,0.40507343658999273,0.4093695176181713,0.325331272049389,0.3312910212377053,6684356801.777778,17134882144.604767
Nov-08-2022,0.4651706695782505,0.46639369787037427,0.3562870303169224,0.4048901927291079,4132452969.7777777,19992595997.83016
Nov-07-2022,0.4711335637869188,0.4786954116616551,0.46160370644961274,0.46587261711478156,2238534082.2222223,21754148664.443443
Nov-06-2022,0.4933574912253321,0.49413034011040896,0.47033392292663045,0.4705532900876451,1730627628.8888888,22512136148.627506
Nov-05-2022,0.5042921680920316,0.5065969544959538,0.4920961803249751,0.49343901967099385,3602793581.3333335,22961558848.74827
Nov-04-2022,0.4549477371780293,0.5042162727537958,0.4537228825821471,0.5028058765287753,3299535235.111111,22188995350.193886
Nov-03-2022,0.4503087024920956,0.4592287388970773,0.4497645528898261,0.454947577564684,2367425081.3333335,21043492693.758957
Nov-02-2022,0.46377637594311844,0.46513562149757987,0.4468316449088304,0.45133058885352495,2030967210.6666667,21103106330.325565
Nov-01-2022,0.46449708878015833,0.46605994041959004,0.45496357293999146,0.46428077789746297,2397567536.4444447,21259113109.48033
Oct-31-2022,0.45798311878114184,0.4661295361960802,0.449457142159932,0.4661295361960802,1980867732.8888888,21046039701.606327
Oct-30-2022,0.4700377592286434,0.4723326286059343,0.45538422915993776,0.45743876943835926,2101031039.5555556,21417264732.912724
Oct-29-2022,0.4736777402246375,0.4811523929702817,0.46727057706167996,0.4701389421451218,2168484548.4444447,21789516158.459023
