Date,Price,Open,High,Low,Vol.,Change %
2022-11-15,11358.41,11474.82,11492.62,11241.15,1.04B,1.45%
2022-11-14,11196.22,11233.90,11350.13,11167.17,983.39M,-1.12%
2022-11-11,11323.33,11124.75,11352.43,11069.83,1.21B,1.88%
2022-11-10,11114.15,10869.17,11119.12,10779.95,1.40B,7.35%
2022-11-09,10353.17,10528.45,10564.97,10344.01,1.04B,-2.48%
2022-11-08,10616.20,10611.53,10745.64,10472.73,994.35M,0.49%
2022-11-07,10564.52,10516.94,10587.96,10428.91,930.25M,0.85%
2022-11-04,10475.25,10548.14,10553.63,10262.93,1.09B,1.28%
2022-11-03,10342.94,10399.45,10486.01,10319.54,1.01B,-1.73%
2022-11-02,10524.80,10885.01,10993.24,10522.90,1.10B,-3.36%
2022-11-01,10890.84,11154.74,11156.35,10881.19,903.26M,-0.89%
2022-10-31,10988.15,11028.43,11047.94,10914.00,1.08B,-1.03%
2022-10-28,11102.45,10766.20,11117.04,10766.20,977.64M,2.87%
2022-10-27,10792.67,10971.95,10998.73,10780.50,973.52M,-1.63%
2022-10-26,10970.99,10969.02,11205.84,10948.38,1.00B,-2.04%
2022-10-25,11199.12,10996.97,11210.38,10996.97,991.08M,2.25%
2022-10-24,10952.61,10867.07,10983.52,10713.33,921.20M,0.86%
2022-10-21,10859.72,10576.04,10875.72,10542.43,1.02B,2.31%
2022-10-20,10614.84,10657.41,10837.30,10574.55,866.25M,-0.61%
2022-10-19,10680.51,10689.31,10808.04,10592.88,921.13M,-0.85%
2022-10-18,10772.40,10963.99,10972.97,10670.12,929.62M,0.90%
2022-10-17,10675.80,10575.65,10696.59,10569.69,944.31M,3.43%
2022-10-14,10321.39,10742.81,10766.68,10308.81,918.04M,-3.08%
2022-10-13,10649.15,10131.82,10697.71,10088.83,1.05B,2.23%
2022-10-12,10417.10,10437.00,10494.53,10372.21,823.61M,-0.09%
2022-10-11,10426.19,10484.37,10608.84,10351.98,990.74M,-1.10%
2022-10-10,10542.10,10659.95,10669.93,10449.04,812.52M,-1.04%
2022-10-07,10652.41,10877.28,10891.93,10608.52,1.03B,-3.80%
2022-10-06,11073.31,11129.04,11230.44,11051.27,873.35M,-0.68%
2022-10-05,11148.64,11022.67,11210.32,10910.76,830.23M,-0.25%
2022-10-04,11176.41,11054.72,11189.96,11044.04,1.02B,3.34%
2022-10-03,10815.43,10659.01,10875.46,10577.89,943.34M,2.27%
2022-09-30,10575.62,10697.71,10883.04,10572.33,1.10B,-1.51%
